[2026-06-11 10:22:05] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_ACTIVE_ALT_5.0
[2026-06-11 11:27:09] TEXT: "take photo stabilize altitude hold degrees" | INTENT: TAKEOFF | CONF: 0.85 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:27:17] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:27:35] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:27:53] TEXT: "take photo stabilize altitude" | INTENT: TAKEOFF | CONF: 0.85 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:28:30] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:28:41] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:28:45] TEXT: "camera zoom record video take photo stabilize altitude hold degrees" | INTENT: LOITER | CONF: 0.85 | STATUS: MODE_LOITER
[2026-06-11 11:29:07] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:29:34] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:29:57] TEXT: "takeoff  takeoff" | INTENT: TAKEOFF | CONF: 0.85 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:30:04] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:30:09] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:30:24] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:30:34] TEXT: "go home camera zoom" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 11:30:46] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:31:03] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:31:50] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:31:53] TEXT: "hold position" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-11 11:32:16] TEXT: "camera zoom record video take photo stabilize altitude hold degrees" | INTENT: LOITER | CONF: 0.85 | STATUS: MODE_LOITER
[2026-06-11 11:32:39] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:34:40] TEXT: "take a photo" | INTENT: TAKEOFF | CONF: 0.85 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:34:43] TEXT: "go home camera zoom record video" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 11:34:47] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:35:58] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:36:09] TEXT: "make it a little bit better" | INTENT: REJECTED | CONF: 0.60 | STATUS: USER_ALERTED_INVALID
[2026-06-11 11:36:48] TEXT: "camera zoom record video" | INTENT: SAVE_WAYPOINT | CONF: 0.85 | STATUS: UNHANDLED_INTENT
[2026-06-11 11:37:32] TEXT: "go home camera zoom record" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 11:37:39] TEXT: "ready to land" | INTENT: LAND | CONF: 0.90 | STATUS: LANDED
[2026-06-11 11:37:46] TEXT: "go home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:38:11] TEXT: "we saw" | INTENT: REJECTED | CONF: 0.60 | STATUS: USER_ALERTED_INVALID
[2026-06-11 11:38:21] TEXT: "hold position" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-11 11:38:31] TEXT: "go home camera zoom record video" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 11:38:49] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:45:40] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-11 11:45:50] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:46:11] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-11 11:46:22] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:46:28] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-11 11:46:44] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:47:43] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:47:51] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 11:48:55] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:54:34] TEXT: "pull it up" | INTENT: TAKEOFF | CONF: 0.85 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 11:54:41] TEXT: "move up" | INTENT: MOVE_FORWARD | CONF: 0.85 | STATUS: MOVE_FWD_5.0
[2026-06-11 11:54:47] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 0.93 | STATUS: TAKEOFF_FAILED
[2026-06-11 11:54:58] TEXT: "go low" | INTENT: MOVE_FORWARD | CONF: 0.85 | STATUS: MOVE_FWD_5.0
[2026-06-11 11:55:14] TEXT: "hold position" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-11 11:55:26] TEXT: "this is the first time I've done this in my life" | INTENT: ARM | CONF: 0.85 | STATUS: MOTORS_ARMED
[2026-06-11 11:56:47] TEXT: "system" | INTENT: ARM | CONF: 0.90 | STATUS: MOTORS_ARMED
[2026-06-11 11:57:02] TEXT: "life and it hurts" | INTENT: REJECTED | CONF: 0.73 | STATUS: USER_ALERTED_INVALID
[2026-06-11 11:57:13] TEXT: "disarm takeoff land" | INTENT: ARM | CONF: 0.90 | STATUS: MOTORS_ARMED
[2026-06-11 11:57:24] TEXT: "hold position" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-11 11:57:36] TEXT: "go home stabilized" | INTENT: RTL | CONF: 0.90 | STATUS: MODE_RTL
[2026-06-11 11:57:48] TEXT: "turn left" | INTENT: MOVE_LEFT | CONF: 1.00 | STATUS: REJECTED_NOT_IN_AIR
[2026-06-11 11:58:01] TEXT: "again b-line order" | INTENT: REJECTED | CONF: 0.54 | STATUS: USER_ALERTED_INVALID
[2026-06-11 11:58:13] TEXT: "turn left" | INTENT: MOVE_LEFT | CONF: 1.00 | STATUS: REJECTED_NOT_IN_AIR
[2026-06-11 13:33:17] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 13:57:26] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 13:57:51] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-11 13:58:00] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-11 13:58:10] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-11 13:58:24] TEXT: "rotate right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: MOVE_RIGHT_5.0
[2026-06-11 13:58:33] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 13:58:44] TEXT: "hover" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-11 13:59:32] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-11 13:59:49] TEXT: "take off 13" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_COMPLETE_ALT_13.0
[2026-06-11 14:30:47] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-11 14:31:05] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-11 14:31:19] TEXT: "take off 10" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_FAILED
[2026-06-11 14:31:28] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-11 14:31:47] TEXT: "take off 23" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_COMPLETE_ALT_23.0
[2026-06-11 14:34:21] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-11 14:37:45] TEXT: "go up 5" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_FAILED
[2026-06-11 14:44:04] TEXT: "rotate right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: MOVE_RIGHT_5.0
[2026-06-11 14:44:48] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-11 14:44:59] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-11 14:45:40] TEXT: "over" | INTENT: LOITER | CONF: 0.89 | STATUS: MODE_LOITER
[2026-06-11 14:45:53] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 09:44:38] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-12 09:44:46] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 09:44:59] TEXT: "take off 10" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_FAILED
[2026-06-12 09:45:05] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 09:45:20] TEXT: "take off 10" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_COMPLETE_ALT_10.0
[2026-06-12 09:45:31] TEXT: "ttake off 10" | INTENT: TAKEOFF | CONF: 0.90 | STATUS: TAKEOFF_FAILED
[2026-06-12 09:45:57] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-12 09:46:15] TEXT: "move left" | INTENT: MOVE_LEFT | CONF: 1.00 | STATUS: MOVE_LEFT_5.0
[2026-06-12 09:46:22] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 09:47:14] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 09:47:29] TEXT: "take off 10" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_COMPLETE_ALT_10.0
[2026-06-12 09:47:55] TEXT: "ggo up 10go up 10" | INTENT: TAKEOFF | CONF: 0.90 | STATUS: TAKEOFF_FAILED
[2026-06-12 09:48:08] TEXT: "go up 10" | INTENT: TAKEOFF | CONF: 0.90 | STATUS: TAKEOFF_FAILED
[2026-06-12 09:54:02] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 11:04:16] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:05:32] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:07:49] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:11:31] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:20:28] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:20:36] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-12 11:20:47] TEXT: "go up 5" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: ALTITUDE_INCREASE_FAILED
[2026-06-12 11:20:58] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-12 11:21:03] TEXT: "go up" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_FAILED
[2026-06-12 11:21:20] TEXT: "go_up" | INTENT: TAKEOFF | CONF: 0.80 | STATUS: ALTITUDE_INCREASE_FAILED
[2026-06-12 11:21:26] TEXT: "go up" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_FAILED
[2026-06-12 11:29:25] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:29:33] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-12 11:29:40] TEXT: "go up" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_TO_9.98
[2026-06-12 11:30:01] TEXT: "ggo up 10" | INTENT: TAKEOFF | CONF: 0.90 | STATUS: ALTITUDE_INCREASE_FAILED
[2026-06-12 11:30:23] TEXT: "go up" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_FAILED
[2026-06-12 11:30:30] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-12 11:30:43] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: MOVE_FWD_5.0
[2026-06-12 11:30:55] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: MOVE_FWD_5.0
[2026-06-12 11:30:58] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 11:50:36] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 11:50:48] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-12 11:51:00] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-12 11:51:11] TEXT: "go up" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_TO_9.997
[2026-06-12 11:51:20] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: MOVE_FWD_5.0
[2026-06-12 11:51:29] TEXT: "go up" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: ALTITUDE_INCREASE_TO_15.018
[2026-06-12 11:51:51] TEXT: "rotate right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: MOVE_RIGHT_5.0
[2026-06-12 11:52:01] TEXT: "rotate left" | INTENT: MOVE_LEFT | CONF: 0.90 | STATUS: MOVE_LEFT_5.0
[2026-06-12 11:52:10] TEXT: "rotate 90" | INTENT: REJECTED | CONF: 0.60 | STATUS: USER_ALERTED_INVALID
[2026-06-12 11:52:27] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 14:28:28] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 14:54:00] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 14:54:15] TEXT: "take off 10" | INTENT: TAKEOFF | CONF: 0.95 | STATUS: TAKEOFF_COMPLETE_ALT_10.0
[2026-06-12 14:54:35] TEXT: "go up go up go up5" | INTENT: ASCEND | CONF: 0.90 | STATUS: ASCEND_5.0m
[2026-06-12 14:55:08] TEXT: "go up 5" | INTENT: ASCEND | CONF: 0.95 | STATUS: ASCEND_5.0m
[2026-06-12 14:55:21] TEXT: "go down 5" | INTENT: DESCEND | CONF: 0.95 | STATUS: DESCEND_5.0m
[2026-06-12 14:55:35] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 15:31:37] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 15:32:32] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 15:33:02] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 15:33:07] TEXT: "set airspeed" | INTENT: SET_AIRSPEED | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-12 15:33:26] TEXT: "set airspeed" | INTENT: SET_AIRSPEED | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-12 15:33:32] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 15:33:40] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-12 15:33:48] TEXT: "setset airspeed" | INTENT: SET_AIRSPEED | CONF: 0.90 | STATUS: UNHANDLED_INTENT
[2026-06-12 15:34:04] TEXT: "move right" | INTENT: MOVE_RIGHT | CONF: 1.00 | STATUS: MOVE_RIGHT_5.0
[2026-06-12 15:34:19] TEXT: "move left" | INTENT: MOVE_LEFT | CONF: 1.00 | STATUS: MOVE_LEFT_5.0
[2026-06-12 15:34:27] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-12 15:40:32] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-12 15:40:39] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-12 15:41:35] TEXT: "set airspeed" | INTENT: SET_AIRSPEED | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-12 15:41:47] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-17 10:48:15] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: MOTORS_ARMED
[2026-06-17 10:48:20] TEXT: "takeoff" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-17 10:48:39] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-17 10:48:55] TEXT: "change mode" | INTENT: QUERY_MODE | CONF: 0.85 | STATUS: UNHANDLED_INTENT
